broad_sample	Name	Vector	Transcript	Symbol	NCBI Gene ID	Taxon ID	Gene Description	Annot. Gene Symbol	Annot. Gene ID	Prot Match %	MOI	Virus / ml	Insert Length	pert_type	control_type
ccsbBroad304_08335	ORF010204.1_TRC304.1	pLX_304	NM_016095.3	GINS2	51659	9606	GINS complex subunit 2	GINS2	51659	100.0			555.0	trt	
ccsbBroad304_11807	ORF005526.1_TRC304.1	pLX_304	NM_015597.6	GPSM1	26086	9606	G protein signaling modulator 1	GPSM1	26086	94.9			1302.0	trt	
ccsbBroad304_07186	ORF009976.1_TRC304.1	pLX_304	NM_175052.3	ST8SIA4	7903	9606	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	ST8SIA4	7903	99.4			504.0	trt	
ccsbBroad304_08484	ORF002179.1_TRC304.1	pLX_304	NM_018146.4	MRM3	55178	9606	mitochondrial rRNA methyltransferase 3	MRM3	55178	99.7			1260.0	trt	
ccsbBroad304_11267	ORF008373.1_TRC304.1	pLX_304	NM_003520.3	H2BC15	8341	9606	H2B clustered histone 15	H2BC15	8341	75.9			498.0	trt	
ccsbBroad304_04012	ORF000121.1_TRC304.1	pLX_304	NM_001305115.1	DUSP26	78986	9606	dual specificity phosphatase 26	DUSP26	78986	100.0			633.0	trt	
ccsbBroad304_04026	ORF005420.1_TRC304.1	pLX_304	NM_024051.4	GGCT	79017	9606	gamma-glutamylcyclotransferase	GGCT	79017	100.0			564.0	trt	
ccsbBroad304_04003	ORF006748.1_TRC304.1	pLX_304	NM_023934.4	FUNDC2	65991	9606	FUN14 domain containing 2	FUNDC2	65991	100.0			567.0	trt	
ccsbBroad304_07382	ORF002263.1_TRC304.1	pLX_304	NM_004226.4	STK17B	9262	9606	serine/threonine kinase 17b	STK17B	9262	100.0			1116.0	trt	
ccsbBroad304_01071	ORF001402.1_TRC304.1	pLX_304	NM_002492.4	NDUFB5	4711	9606	NADH:ubiquinone oxidoreductase subunit B5	NDUFB5	4711	100.0			567.0	trt	
ccsbBroad304_12951	ORF008064.1_TRC304.1	pLX_304	XM_006716170.4	ADCK2	90956	9606	aarF domain containing kinase 2	ADCK2	90956	71.8			1221.0	trt	
ccsbBroad304_11100	ORF007118.1_TRC304.1	pLX_304	NM_134427.2	RGS3	5998	9606	regulator of G protein signaling 3	RGS3	5998	86.9			576.0	trt	
ccsbBroad304_02000	ORF008742.1_TRC304.1	pLX_304	NM_003794.4	SNX4	8723	9606	sorting nexin 4	SNX4	8723	100.0			1350.0	trt	
ccsbBroad304_09397	ORF000301.1_TRC304.1	pLX_304	NM_134268.5	CYGB	114757	9606	cytoglobin	CYGB	114757	99.4			570.0	trt	
ccsbBroad304_11052	ORF017088.1_TRC304.1	pLX_304	NM_178587.3	PPP2R5C	5527	9606	protein phosphatase 2 regulatory subunit B'gamma	PPP2R5C	5527	85.5			1152.0	trt	
ccsbBroad304_05856	ORF004152.1_TRC304.1	pLX_304	NM_001127505.3	ASAH1	427	9606	N-acylsphingosine amidohydrolase 1	ASAH1	427	99.4			1167.0	trt	
ccsbBroad304_03552	ORF017814.1_TRC304.1	pLX_304	NM_018199.3	EXD2	55218	9606	exonuclease 3'-5' domain containing 2	EXD2	55218	100.0			1488.0	trt	
ccsbBroad304_07236	ORF016834.1_TRC304.1	pLX_304	NM_003564.3	TAGLN2	8407	9606	transgelin 2	TAGLN2	8407	99.4			597.0	trt	
ccsbBroad304_11735	ORF008072.1_TRC304.1	pLX_304	NM_001271684.2	SLC35A3	23443	9606	solute carrier family 35 member A3	SLC35A3	23443	97.7			645.0	trt	
ccsbBroad304_12542	ORF018184.1_TRC304.1	pLX_304	XM_011528284.2	SLC25A23	79085	9606	solute carrier family 25 member 23	SLC25A23	79085	91.9			1446.0	trt	
ccsbBroad304_06698	ORF004236.1_TRC304.1	pLX_304	NM_006201.5	CDK16	5127	9606	cyclin dependent kinase 16	CDK16	5127	100.0			1488.0	trt	
ccsbBroad304_07578	ORF007465.1_TRC304.1	pLX_304	NM_001174152.1	RABEPK	10244	9606	Rab9 effector protein with kelch motifs	RABEPK	10244	99.4			1116.0	trt	
ccsbBroad304_00624	ORF005510.1_TRC304.1	pLX_304	NM_000162.5	GCK	2645	9606	glucokinase	GCK	2645	100.0			1395.0	trt	
ccsbBroad304_15462	ORF014973.1_TRC304.1	pLX_304	BC019337.1	IGHG1	3500	9606		IGHG1	3500				1392.0	trt	
ccsbBroad304_08230	ORF004747.1_TRC304.1	pLX_304	NM_001114182.2	IRAK4	51135	9606	interleukin 1 receptor associated kinase 4	IRAK4	51135	100.0			1380.0	trt	
ccsbBroad304_06123	ORF000621.1_TRC304.1	pLX_304	NM_001388.5	DRG2	1819	9606	developmentally regulated GTP binding protein 2	DRG2	1819	99.7			1092.0	trt	
ccsbBroad304_00834	ORF016638.1_TRC304.1	pLX_304	NM_000416.2	IFNGR1	3459	9606	interferon gamma receptor 1	IFNGR1	3459	100.0			1467.0	trt	
ccsbBroad304_07410	ORF014149.1_TRC304.1	pLX_304	NM_004808.3	NMT2	9397	9606	N-myristoyltransferase 2	NMT2	9397	99.5			1494.0	trt	
ccsbBroad304_03611	ORF007035.1_TRC304.1	pLX_304	NM_001304550.2	THUMPD1	55623	9606	THUMP domain containing 1	THUMPD1	55623	100.0			1059.0	trt	
ccsbBroad304_08462	ORF003473.1_TRC304.1	pLX_304	NM_017956.4	TRMT12	55039	9606	tRNA methyltransferase 12 homolog	TRMT12	55039	99.7			1344.0	trt	
ccsbBroad304_03127	ORF018409.1_TRC304.1	pLX_304	NM_014583.4	LMCD1	29995	9606	LIM and cysteine rich domains 1	LMCD1	29995	100.0			1095.0	trt	
ccsbBroad304_11112	ORF008982.1_TRC304.1	pLX_304	NM_206852.2	RTN1	6252	9606	reticulon 1	RTN1	6252	95.6			597.0	trt	
ccsbBroad304_10832	ORF016893.1_TRC304.1	pLX_304	NM_001114175.2	GABRA2	2555	9606	gamma-aminobutyric acid type A receptor alpha2 subunit	GABRA2	2555	79.1			1101.0	trt	
ccsbBroad304_02200	ORF011406.1_TRC304.1	pLX_304	NM_004287.4	GOSR2	9570	9606	golgi SNAP receptor complex member 2	GOSR2	9570	100.0			636.0	trt	
ccsbBroad304_01932	ORF007027.1_TRC304.1	pLX_304	NM_003596.4	TPST1	8460	9606	tyrosylprotein sulfotransferase 1	TPST1	8460	100.0			1110.0	trt	
ccsbBroad304_07629	ORF004041.1_TRC304.1	pLX_304	NM_006396.3	ZNRD2	10534	9606	zinc ribbon domain containing 2	ZNRD2	10534	100.0			597.0	trt	
ccsbBroad304_01253	ORF007524.1_TRC304.1	pLX_304	NM_005038.3	PPID	5481	9606	peptidylprolyl isomerase D	PPID	5481	100.0			1110.0	trt	
ccsbBroad304_03455	ORF016135.1_TRC304.1	pLX_304	NM_017566.4	KLHDC4	54758	9606	kelch domain containing 4	KLHDC4	54758	100.0			1560.0	trt	
ccsbBroad304_05407	ORF000734.1_TRC304.1	pLX_304	NM_001083535.2	CEP57L1	285753	9606	centrosomal protein 57 like 1	CEP57L1	285753	100.0			1380.0	trt	
ccsbBroad304_09836	ORF000364.1_TRC304.1	pLX_304	NM_182488.4	USP12	219333	9606	ubiquitin specific peptidase 12	USP12	219333	99.4			1110.0	trt	
ccsbBroad304_06758	ORF000232.1_TRC304.1	pLX_304	NM_006741.4	PPP1R1A	5502	9606	protein phosphatase 1 regulatory inhibitor subunit 1A	PPP1R1A	5502	98.8			513.0	trt	
ccsbBroad304_06911	ORF010710.1_TRC304.1	pLX_304	NM_002969.6	MAPK12	6300	9606	mitogen-activated protein kinase 12	MAPK12	6300	100.0			1101.0	trt	
ccsbBroad304_02966	ORF006344.1_TRC304.1	pLX_304	NM_018959.4	DAZAP1	26528	9606	DAZ associated protein 1	DAZAP1	26528	100.0			1221.0	trt	
ccsbBroad304_10975	ORF002054.1_TRC304.1	pLX_304	NM_001289157.2	MPI	4351	9606	mannose phosphate isomerase	MPI	4351	100.0			1086.0	trt	
ccsbBroad304_11256	ORF016458.1_TRC304.1	pLX_304	XM_011525317.2	RND2	8153	9606	Rho family GTPase 2	RND2	8153	81.5			507.0	trt	
ccsbBroad304_02277	ORF009025.1_TRC304.1	pLX_304	NM_005117.3	FGF19	9965	9606	fibroblast growth factor 19	FGF19	9965	100.0			648.0	trt	
ccsbBroad304_02677	ORF013835.1_TRC304.1	pLX_304	NM_014891.7	PDAP1	11333	9606	PDGFA associated protein 1	PDAP1	11333	100.0			543.0	trt	
ccsbBroad304_11875	ORF018547.1_TRC304.1	pLX_304	XM_011525932.1	CDH19	28513	9606	cadherin 19	CDH19	28513	87.6			1170.0	trt	
ccsbBroad304_02612	ORF004669.1_TRC304.1	pLX_304	NM_007026.4	DUSP14	11072	9606	dual specificity phosphatase 14	DUSP14	11072	100.0			594.0	trt	
ccsbBroad304_15854	ORF008936.1_TRC304.1	pLX_304	NM_016095.3	GINS2	51659	9606	GINS complex subunit 2	GINS2	51659	100.0			555.0	trt	
ccsbBroad304_02952	ORF006486.1_TRC304.1	pLX_304	NM_005702.4	ERAL1	26284	9606	Era like 12S mitochondrial rRNA chaperone 1	ERAL1	26284	100.0			1311.0	trt	
ccsbBroad304_12509	ORF003108.1_TRC304.1	pLX_304	NM_001203246.1	GPBP1	65056	9606	GC-rich promoter binding protein 1	GPBP1	65056	59.9			543.0	trt	
ccsbBroad304_06459	ORF002494.1_TRC304.1	pLX_304	NM_002460.4	IRF4	3662	9606	interferon regulatory factor 4	IRF4	3662	54.4			1355.0	trt	
ccsbBroad304_08270	ORF016860.1_TRC304.1	pLX_304	NM_016558.3	SCAND1	51282	9606	SCAN domain containing 1	SCAND1	51282	99.4			537.0	trt	
ccsbBroad304_08913	ORF015087.1_TRC304.1	pLX_304	NM_024079.5	ALG8	79053	9606	ALG8 alpha-1,3-glucosyltransferase	ALG8	79053	99.8			1578.0	trt	
ccsbBroad304_06051	ORF015707.1_TRC304.1	pLX_304	NM_001317.6	CSH1	1442	9606	chorionic somatomammotropin hormone 1	CSH1	1442	100.0			651.0	trt	
ccsbBroad304_04592	ORF015043.1_TRC304.1	pLX_304	NM_138393.4	REEP6	92840	9606	receptor accessory protein 6	REEP6	92840	100.0			552.0	trt	
ccsbBroad304_01357	ORF013383.1_TRC304.1	pLX_304	NM_004161.5	RAB1A	5861	9606	RAB1A, member RAS oncogene family	RAB1A	5861	100.0			615.0	trt	
ccsbBroad304_02660	ORF001127.1_TRC304.1	pLX_304	NM_024348.4	DCTN3	11258	9606	dynactin subunit 3	DCTN3	11258	100.0			528.0	trt	
ccsbBroad304_03528	ORF012798.1_TRC304.1	pLX_304	NM_018064.4	AKIRIN2	55122	9606	akirin 2	AKIRIN2	55122	100.0			609.0	trt	
ccsbBroad304_00100	ORF009273.1_TRC304.1	pLX_304	NM_001313941.2	RHOA	387	9606	ras homolog family member A	RHOA	387	100.0			579.0	trt	
ccsbBroad304_01193	ORF002809.1_TRC304.1	pLX_304	NM_006216.3	SERPINE2	5270	9606	serpin family E member 2	SERPINE2	5270	100.0			1194.0	trt	
ccsbBroad304_13202	ORF006324.1_TRC304.1	pLX_304	NM_080431.5	ACTRT2	140625	9606	actin related protein T2	ACTRT2	140625	99.7			1128.0	trt	
ccsbBroad304_08437	ORF006268.1_TRC304.1	pLX_304	NM_017869.4	BANP	54971	9606	BTG3 associated nuclear protein	BANP	54971	100.0			1407.0	trt	
ccsbBroad304_13877	ORF013641.1_TRC304.1	pLX_304	NM_001328615.1	HSD3B1	3283	9606	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	HSD3B1	3283	99.4			1119.0	trt	
ccsbBroad304_03995	ORF004076.1_TRC304.1	pLX_304	NM_023004.6	RTN4R	65078	9606	reticulon 4 receptor	RTN4R	65078	100.0			1419.0	trt	
ccsbBroad304_04835	ORF008358.1_TRC304.1	pLX_304	NM_138796.4	SPATA17	128153	9606	spermatogenesis associated 17	SPATA17	128153	100.0			1083.0	trt	
ccsbBroad304_08920	ORF011405.1_TRC304.1	pLX_304	NM_024098.4	CCDC86	79080	9606	coiled-coil domain containing 86	CCDC86	79080	99.7			1080.0	trt	
ccsbBroad304_12642	ORF006374.1_TRC304.1	pLX_304	NM_024838.5	THNSL1	79896	9606	threonine synthase like 1	THNSL1	79896	29.8			666.0	trt	
ccsbBroad304_03920	ORF004224.1_TRC304.1	pLX_304	NM_022136.5	SAMSN1	64092	9606	SAM domain, SH3 domain and nuclear localization signals 1	SAMSN1	64092	100.0			1119.0	trt	
ccsbBroad304_02448	ORF010580.1_TRC304.1	pLX_304	NM_182678.2	UBE2E3	10477	9606	ubiquitin conjugating enzyme E2 E3	UBE2E3	10477	100.0			621.0	trt	
ccsbBroad304_05143	ORF004622.1_TRC304.1	pLX_304	NM_139175.2	RNF133	168433	9606	ring finger protein 133	RNF133	168433	42.2			981.0	trt	
ccsbBroad304_09105	ORF006436.1_TRC304.1	pLX_304	NM_031459.5	SESN2	83667	9606	sestrin 2	SESN2	83667	99.7			1440.0	trt	
ccsbBroad304_12639	ORF003939.1_TRC304.1	pLX_304	NM_001286429.2	THSD4	79875	9606	thrombospondin type 1 domain containing 4	THSD4	79875	73.2			1470.0	trt	
ccsbBroad304_02596	ORF005806.1_TRC304.1	pLX_304	NM_006855.4	KDELR3	11015	9606	KDEL endoplasmic reticulum protein retention receptor 3	KDELR3	11015	100.0			642.0	trt	
ccsbBroad304_00328	ORF012468.1_TRC304.1	pLX_304	NM_003992.4	CLK3	1198	9606	CDC like kinase 3	CLK3	1198	100.0			1470.0	trt	
ccsbBroad304_11096	ORF003155.1_TRC304.1	pLX_304	NM_020630.5	RET	5979	9606	ret proto-oncogene	RET	5979	40.0			1374.0	trt	
ccsbBroad304_03009	ORF011341.1_TRC304.1	pLX_304	NM_015698.6	GPKOW	27238	9606	G-patch domain and KOW motifs	GPKOW	27238	100.0			1428.0	trt	
ccsbBroad304_03265	ORF004512.1_TRC304.1	pLX_304	NM_016561.3	BFAR	51283	9606	bifunctional apoptosis regulator	BFAR	51283	100.0			1350.0	trt	
ccsbBroad304_08273	ORF015251.1_TRC304.1	pLX_304	NM_016593.5	CYP39A1	51302	9606	cytochrome P450 family 39 subfamily A member 1	CYP39A1	51302	99.5			1407.0	trt	
ccsbBroad304_07912	ORF006936.1_TRC304.1	pLX_304	NM_014320.3	HEBP2	23593	9606	heme binding protein 2	HEBP2	23593	99.5			615.0	trt	
ccsbBroad304_06183	ORF013088.1_TRC304.1	pLX_304	NM_001163287.2	EWSR1	2130	9606	EWS RNA binding protein 1	EWSR1	2130	99.7			1062.0	trt	
ccsbBroad304_02756	ORF017268.1_TRC304.1	pLX_304	NM_015324.4	RRP8	23378	9606	ribosomal RNA processing 8	RRP8	23378	100.0			1368.0	trt	
ccsbBroad304_07124	ORF012276.1_TRC304.1	pLX_304	NM_000374.5	UROD	7389	9606	uroporphyrinogen decarboxylase	UROD	7389	99.7			1101.0	trt	
ccsbBroad304_11869	ORF003043.1_TRC304.1	pLX_304	NM_013239.5	PPP2R3B	28227	9606	protein phosphatase 2 regulatory subunit B''beta	PPP2R3B	28227	30.6			528.0	trt	
ccsbBroad304_02249	ORF007749.1_TRC304.1	pLX_304	NM_014774.3	EFCAB14	9813	9606	EF-hand calcium binding domain 14	EFCAB14	9813	100.0			1485.0	trt	
ccsbBroad304_00847	ORF015986.1_TRC304.1	pLX_304	NM_000206.2	IL2RG	3561	9606	interleukin 2 receptor subunit gamma	IL2RG	3561	100.0			1107.0	trt	
ccsbBroad304_09203	ORF017313.1_TRC304.1	pLX_304	XM_005252627.3	LYZL1	84569	9606	lysozyme like 1	LYZL1	84569	87.2			582.0	trt	
ccsbBroad304_03064	ORF003479.1_TRC304.1	pLX_304	NM_017611.2	SLC43A3	29015	9606	solute carrier family 43 member 3	SLC43A3	29015	100.0			1473.0	trt	
ccsbBroad304_12106	ORF017188.1_TRC304.1	pLX_304	NM_001349527.1	PXK	54899	9606	PX domain containing serine/threonine kinase like	PXK	54899	91.2			1350.0	trt	
ccsbBroad304_11669	ORF000178.1_TRC304.1	pLX_304	XM_017015981.1	WAPL	23063	9606	WAPL cohesin release factor	WAPL	23063	62.5			1206.0	trt	
ccsbBroad304_03363	ORF017890.1_TRC304.1	pLX_304	NM_015964.4	TPPP3	51673	9606	tubulin polymerization promoting protein family member 3	TPPP3	51673	100.0			528.0	trt	
ccsbBroad304_15452	ORF018445.1_TRC304.1	pLX_304	NM_001098204.1	HNRNPF	3185	9606	heterogeneous nuclear ribonucleoprotein F	HNRNPF	3185	99.7			1245.0	trt	
ccsbBroad304_00646	ORF000251.1_TRC304.1	pLX_304	NM_006708.3	GLO1	2739	9606	glyoxalase I	GLO1	2739	100.0			552.0	trt	
ccsbBroad304_08870	ORF004801.1_TRC304.1	pLX_304	NM_022780.4	RMND5A	64795	9606	required for meiotic nuclear division 5 homolog A	RMND5A	64795	100.0			1173.0	trt	
ccsbBroad304_13038	ORF014043.1_TRC304.1	pLX_304	XM_011510536.3	FMNL2	114793	9606	formin like 2	FMNL2	114793	17.6			534.0	trt	
ccsbBroad304_12239	ORF008660.1_TRC304.1	pLX_304	XM_011517154.2	SYBU	55638	9606	syntabulin	SYBU	55638	92.1			1371.0	trt	
ccsbBroad304_01252	ORF008128.1_TRC304.1	pLX_304	NM_021130.5	PPIA	5478	9606	peptidylprolyl isomerase A	PPIA	5478	100.0			495.0	trt	
ccsbBroad304_02940	ORF007917.1_TRC304.1	pLX_304	NM_014358.4	CLEC4E	26253	9606	C-type lectin domain family 4 member E	CLEC4E	26253	100.0			657.0	trt	
ccsbBroad304_11300	ORF004154.1_TRC304.1	pLX_304	NM_003807.4	TNFSF14	8740	9606	TNF superfamily member 14	TNFSF14	8740	73.3			531.0	trt	
ccsbBroad304_04440	ORF008464.1_TRC304.1	pLX_304	NM_032795.3	RPUSD4	84881	9606	RNA pseudouridine synthase D4	RPUSD4	84881	100.0			1131.0	trt	
ccsbBroad304_12130	ORF008532.1_TRC304.1	pLX_304	NM_001324373.2	ACSM5	54988	9606	acyl-CoA synthetase medium chain family member 5	ACSM5	54988	100.0			624.0	trt	
ccsbBroad304_06675	ORF001559.1_TRC304.1	pLX_304	NM_183233.3	SLC22A18	5002	9606	solute carrier family 22 member 18	SLC22A18	5002	99.7			1272.0	trt	
ccsbBroad304_03691	ORF016152.1_TRC304.1	pLX_304	NM_001122839.2	SLC50A1	55974	9606	solute carrier family 50 member 1	SLC50A1	55974	100.0			501.0	trt	
ccsbBroad304_00714	ORF017703.1_TRC304.1	pLX_304	NM_005319.3	H1-2	3006	9606	H1.2 linker histone, cluster member	H1-2	3006	100.0			639.0	trt	
ccsbBroad304_00836	ORF010266.1_TRC304.1	pLX_304	NM_001007139.5	IGF2	3481	9606	insulin like growth factor 2	IGF2	3481	100.0			540.0	trt	
ccsbBroad304_01192	ORF009530.1_TRC304.1	pLX_304	NM_001289033.2	SERPINA4	5267	9606	serpin family A member 4	SERPINA4	5267	100.0			1281.0	trt	
ccsbBroad304_16161	ORF014139.1_TRC304.1	pLX_304	NM_015917.3	GSTK1	373156	9606	glutathione S-transferase kappa 1	GSTK1	373156	100.0			678.0	trt	
ccsbBroad304_03381	ORF014542.1_TRC304.1	pLX_304	NM_016532.4	INPP5K	51763	9606	inositol polyphosphate-5-phosphatase K	INPP5K	51763	100.0			1344.0	trt	
ccsbBroad304_10441	ORF007207.1_TRC304.1	pLX_304	NM_000285.4	PEPD	5184	9606	peptidase D	PEPD	5184				1479.0	trt	
ccsbBroad304_04317	ORF006139.1_TRC304.1	pLX_304	NM_001014380.3	KATNAL1	84056	9606	katanin catalytic subunit A1 like 1	KATNAL1	84056	100.0			1470.0	trt	
ccsbBroad304_02785	ORF001754.1_TRC304.1	pLX_304	NM_012423.4	RPL13A	23521	9606	ribosomal protein L13a	RPL13A	23521	100.0			609.0	trt	
ccsbBroad304_03374	ORF010952.1_TRC304.1	pLX_304	NM_016306.5	DNAJB11	51726	9606	DnaJ heat shock protein family (Hsp40) member B11	DNAJB11	51726	100.0			1074.0	trt	
ccsbBroad304_02415	ORF006897.1_TRC304.1	pLX_304	NM_006086.4	TUBB3	10381	9606	tubulin beta 3 class III	TUBB3	10381	100.0			1350.0	trt	
ccsbBroad304_08540	ORF001266.1_TRC304.1	pLX_304	NM_018696.3	ELAC1	55520	9606	elaC ribonuclease Z 1	ELAC1	55520	99.7			1089.0	trt	
ccsbBroad304_05936	ORF009185.1_TRC304.1	pLX_304	NM_032982.4	CASP2	835	9606	caspase 2	CASP2	835	99.7			1356.0	trt	
ccsbBroad304_00898	ORF000248.1_TRC304.1	pLX_304	NM_170737.2	KCNJ15	3772	9606	potassium inwardly rectifying channel subfamily J member 15	KCNJ15	3772	100.0			1125.0	trt	
ccsbBroad304_11808	ORF014214.1_TRC304.1	pLX_304	NM_015602.3	TOR1AIP1	26092	9606	torsin 1A interacting protein 1	TOR1AIP1	26092	78.9			1386.0	trt	
ccsbBroad304_05945	ORF009927.1_TRC304.1	pLX_304	NM_176875.4	CCKBR	887	9606	cholecystokinin B receptor	CCKBR	887	100.0			1341.0	trt	
ccsbBroad304_01396	ORF005536.1_TRC304.1	pLX_304	NM_005613.5	RGS4	5999	9606	regulator of G protein signaling 4	RGS4	5999	100.0			615.0	trt	
ccsbBroad304_01725	ORF015699.1_TRC304.1	pLX_304	NM_001070.5	TUBG1	7283	9606	tubulin gamma 1	TUBG1	7283	100.0			1353.0	trt	
ccsbBroad304_10907	ORF003336.1_TRC304.1	pLX_304	BC019046.2	IGHG1	3500	9606		IGHG1	3500				1632.0	trt	
ccsbBroad304_05845	ORF004056.1_TRC304.1	pLX_304	NM_001661.4	ARL4D	379	9606	ADP ribosylation factor like GTPase 4D	ARL4D	379	100.0			603.0	trt	
ccsbBroad304_07233	ORF013048.1_TRC304.1	pLX_304	NM_001135637.2	PIP5K1A	8394	9606	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha	PIP5K1A	8394	100.0			1500.0	trt	
ccsbBroad304_01620	ORF008948.1_TRC304.1	pLX_304	NM_145251.4	STYX	6815	9606	serine/threonine/tyrosine interacting protein	STYX	6815	100.0			669.0	trt	
ccsbBroad304_10438	ORF004527.1_TRC304.1	pLX_304	NM_201545.2	LGALS8	3964	9606	galectin 8	LGALS8	3964	98.3			1074.0	trt	
ccsbBroad304_07576	ORF014942.1_TRC304.1	pLX_304	NM_005831.5	CALCOCO2	10241	9606	calcium binding and coiled-coil domain 2	CALCOCO2	10241	99.7			1338.0	trt	
ccsbBroad304_14175	ORF003107.1_TRC304.1	pLX_304	XM_017024805.1	MKS1	54903	9606	MKS transition zone complex subunit 1	MKS1	54903	76.4			1131.0	trt	
ccsbBroad304_08354	ORF008981.1_TRC304.1	pLX_304	NM_022338.4	C11orf24	53838	9606	chromosome 11 open reading frame 24	C11orf24	53838	99.7			1347.0	trt	
ccsbBroad304_08433	ORF004358.1_TRC304.1	pLX_304	NM_001008485.1	SLC41A3	54946	9606	solute carrier family 41 member 3	SLC41A3	54946	100.0			1521.0	trt	
ccsbBroad304_09891	ORF009237.1_TRC304.1	pLX_304	NM_001288569.1	TMEM9	252839	9606	transmembrane protein 9	TMEM9	252839	100.0			549.0	trt	
ccsbBroad304_00028	ORF015756.1_TRC304.1	pLX_304	NM_000671.4	ADH5	128	9606	alcohol dehydrogenase 5 (class III), chi polypeptide	ADH5	128	100.0			1122.0	trt	
ccsbBroad304_13668	ORF009283.1_TRC304.1	pLX_304	NM_212554.4	EEF1AKMT2	399818	9606	EEF1A lysine methyltransferase 2	EEF1AKMT2	399818	64.2			576.0	trt	
ccsbBroad304_12792	ORF013760.1_TRC304.1	pLX_304	NM_001032730.2	USP48	84196	9606	ubiquitin specific peptidase 48	USP48	84196	89.8			1329.0	trt	
ccsbBroad304_11634	ORF010438.1_TRC304.1	pLX_304	NM_014909.5	VASH1	22846	9606	vasohibin 1	VASH1	22846	50.1			612.0	trt	
ccsbBroad304_07001	ORF006660.1_TRC304.1	pLX_304	NM_175698.2	SSX2	6757	9606	SSX family member 2	SSX2	6757	99.4			564.0	trt	
ccsbBroad304_05251	ORF003011.1_TRC304.1	pLX_304	NM_174928.2	EEF1AKMT1	221143	9606	EEF1A lysine methyltransferase 1	EEF1AKMT1	221143	100.0			642.0	trt	
ccsbBroad304_10243	ORF009607.1_TRC304.1	pLX_304	NM_001363660.2	PSPC1	55269	9606	paraspeckle component 1	PSPC1	55269	100.0			1179.0	trt	
ccsbBroad304_03320	ORF018149.1_TRC304.1	pLX_304	NM_016410.6	CHMP5	51510	9606	charged multivesicular body protein 5	CHMP5	51510	100.0			657.0	trt	
ccsbBroad304_12537	ORF008462.1_TRC304.1	pLX_304	NM_024080.5	TRPM8	79054	9606	transient receptor potential cation channel subfamily M member 8	TRPM8	79054	15.3			576.0	trt	
ccsbBroad304_03976	ORF007694.1_TRC304.1	pLX_304	NM_203473.3	PORCN	64840	9606	porcupine O-acyltransferase	PORCN	64840	100.0			1368.0	trt	
ccsbBroad304_15793	ORF010792.1_TRC304.1	pLX_304	NM_001114107.5	PDLIM3	27295	9606	PDZ and LIM domain 3	PDLIM3	27295	53.2			567.0	trt	
ccsbBroad304_11747	ORF007711.1_TRC304.1	pLX_304	NM_001319118.2	DNPEP	23549	9606	aspartyl aminopeptidase	DNPEP	23549	99.1			1425.0	trt	
ccsbBroad304_11908	ORF013143.1_TRC304.1	pLX_304	NM_012092.4	ICOS	29851	9606	inducible T cell costimulator	ICOS	29851	83.9			504.0	trt	
ccsbBroad304_00422	ORF007489.1_TRC304.1	pLX_304	NM_001349.4	DARS1	1615	9606	aspartyl-tRNA synthetase 1	DARS1	1615	100.0			1503.0	trt	
ccsbBroad304_00146	ORF006959.1_TRC304.1	pLX_304	NM_004322.3	BAD	572	9606	BCL2 associated agonist of cell death	BAD	572	100.0			504.0	trt	
ccsbBroad304_10083	ORF004205.1_TRC304.1	pLX_304	NM_199044.3	NSUN4	387338	9606	NOP2/Sun RNA methyltransferase 4	NSUN4	387338	99.4			1152.0	trt	
ccsbBroad304_15878	ORF002573.1_TRC304.1	pLX_304	NM_001324373.2	ACSM5	54988	9606	acyl-CoA synthetase medium chain family member 5	ACSM5	54988	99.5			624.0	trt	
ccsbBroad304_06235	ORF001068.1_TRC304.1	pLX_304	NM_001360016.2	G6PD	2539	9606	glucose-6-phosphate dehydrogenase	G6PD	2539	100.0			1545.0	trt	
ccsbBroad304_00443	ORF016618.1_TRC304.1	pLX_304	NM_000791.4	DHFR	1719	9606	dihydrofolate reductase	DHFR	1719	100.0			561.0	trt	
ccsbBroad304_01183	ORF014418.1_TRC304.1	pLX_304	NM_002631.4	PGD	5226	9606	phosphogluconate dehydrogenase	PGD	5226	100.0			1449.0	trt	
ccsbBroad304_11783	ORF011001.1_TRC304.1	pLX_304	NM_001297723.1	C1orf43	25912	9606	chromosome 1 open reading frame 43	C1orf43	25912	100.0			567.0	trt	
ccsbBroad304_06969	ORF015227.1_TRC304.1	pLX_304	NM_001142324.2	SLC18A1	6570	9606	solute carrier family 18 member A1	SLC18A1	6570	99.5			1479.0	trt	
ccsbBroad304_15877	ORF004593.1_TRC304.1	pLX_304	NM_001008485.1	SLC41A3	54946	9606	solute carrier family 41 member 3	SLC41A3	54946	98.6			1500.0	trt	
ccsbBroad304_01032	ORF010264.1_TRC304.1	pLX_304	NM_002436.4	MPP1	4354	9606	membrane palmitoylated protein 1	MPP1	4354	100.0			1398.0	trt	
ccsbBroad304_06288	ORF005604.1_TRC304.1	pLX_304	NM_001500.4	GMDS	2762	9606	GDP-mannose 4,6-dehydratase	GMDS	2762	100.0			1116.0	trt	
